,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289
10,330,330,2022-02-28,0,2,0,0,0,0,0,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,331,331,2022-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,332,332,2022-03-02,0,10,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,333,333,2022-03-03,0,28,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,334,334,2022-03-04,0,16,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,335,335,2022-03-05,0,5,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,10,0,0,0,0,16,0,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
11,331,331,2022-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,332,332,2022-03-02,0,10,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,333,333,2022-03-03,0,28,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,334,334,2022-03-04,0,16,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,335,335,2022-03-05,0,5,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,10,0,0,0,0,16,0,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0
12,332,332,2022-03-02,0,10,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,333,333,2022-03-03,0,28,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,334,334,2022-03-04,0,16,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,335,335,2022-03-05,0,5,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,10,0,0,0,0,16,0,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0
13,333,333,2022-03-03,0,28,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,334,334,2022-03-04,0,16,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,335,335,2022-03-05,0,5,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,10,0,0,0,0,16,0,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0
14,334,334,2022-03-04,0,16,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,335,335,2022-03-05,0,5,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,10,0,0,0,0,16,0,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0,343,343,2022-03-17,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,335,335,2022-03-05,0,5,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,10,0,0,0,0,16,0,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0,343,343,2022-03-17,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,2022-03-18,1,1,0,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,6,0,0,0,0,2,0
16,336,336,2022-03-06,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,0,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0,343,343,2022-03-17,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,2022-03-18,1,1,0,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,6,0,0,0,0,2,0,345,345,2022-03-19,2,3,0,0,1,0,0,0,0,2,11,0,5,0,0,0,0,0,0,5,0,0,0,0,9,0
17,337,337,2022-03-07,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0,343,343,2022-03-17,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,2022-03-18,1,1,0,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,6,0,0,0,0,2,0,345,345,2022-03-19,2,3,0,0,1,0,0,0,0,2,11,0,5,0,0,0,0,0,0,5,0,0,0,0,9,0,346,346,2022-03-20,0,1,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0
18,338,338,2022-03-08,0,1,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0,343,343,2022-03-17,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,2022-03-18,1,1,0,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,6,0,0,0,0,2,0,345,345,2022-03-19,2,3,0,0,1,0,0,0,0,2,11,0,5,0,0,0,0,0,0,5,0,0,0,0,9,0,346,346,2022-03-20,0,1,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,347,347,2022-03-21,4,1,0,0,2,0,0,0,0,6,72,0,4,0,0,0,0,0,0,18,0,0,0,0,10,0
19,339,339,2022-03-09,0,1,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,340,340,2022-03-14,1,4,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,341,341,2022-03-15,1,2,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,3,0,0,0,0,30,0,342,342,2022-03-16,2,3,0,0,0,0,0,0,0,2,78,0,10,0,0,0,0,0,0,12,0,0,0,0,18,0,343,343,2022-03-17,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,2022-03-18,1,1,0,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,6,0,0,0,0,2,0,345,345,2022-03-19,2,3,0,0,1,0,0,0,0,2,11,0,5,0,0,0,0,0,0,5,0,0,0,0,9,0,346,346,2022-03-20,0,1,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,347,347,2022-03-21,4,1,0,0,2,0,0,0,0,6,72,0,4,0,0,0,0,0,0,18,0,0,0,0,10,0,348,348,2022-03-22,0,0,0,0,16,0,0,0,0,2,62,0,0,0,0,0,0,0,0,30,0,0,0,0,18,0
