Unnamed: 0,location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,tavg,wdir,wspd,pres
282,БЕОГРАД - НОВИ БЕОГРАД,2016-02-19,0,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,51,0,0,0,0,54,0,5.454761904761905,167.41379310344828,9.602857142857143,1020.9454545454545
283,БЕОГРАД - НОВИ БЕОГРАД,2016-02-20,1,6,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,0,36,0,0,0,0,59,0,4.690697674418605,210.96428571428572,9.563636363636364,1022.3382352941177
284,БЕОГРАД - НОВИ БЕОГРАД,2016-02-21,17,7,0,0,0,0,0,0,0,10,57,0,2,0,0,0,0,0,0,160,0,0,3,0,141,0,5.490909090909091,185.5483870967742,9.860526315789473,1020.6657142857143
285,БЕОГРАД - НОВИ БЕОГРАД,2016-02-22,2,0,0,0,0,0,4,0,0,4,134,0,0,0,0,2,0,0,0,115,0,0,4,0,41,0,6.16,230.06060606060606,11.1525,1020.546153846154
286,БЕОГРАД - НОВИ БЕОГРАД,2016-02-23,1,0,0,0,0,0,2,0,0,2,43,0,3,0,0,1,0,0,0,87,0,0,2,0,28,0,5.7555555555555555,189.06060606060606,10.299999999999999,1023.2717948717948
287,БЕОГРАД - НОВИ БЕОГРАД,2016-02-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4.7155555555555555,220.3030303030303,9.807692307692308,1024.386842105263
288,БЕОГРАД - НОВИ БЕОГРАД,2016-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.433333333333334,202.77142857142857,9.927499999999998,1022.8794871794872
289,БЕОГРАД - НОВИ БЕОГРАД,2016-02-26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.004545454545454,168.3030303030303,9.719444444444443,1018.9027027027028
290,БЕОГРАД - НОВИ БЕОГРАД,2016-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.308888888888889,203.54545454545453,10.792105263157895,1018.5459459459458
291,БЕОГРАД - НОВИ БЕОГРАД,2016-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4.431111111111111,212.0857142857143,12.526315789473685,1020.6388888888889
292,БЕОГРАД - НОВИ БЕОГРАД,2016-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7.891666666666667,152.0,19.080000000000002,1017.675
293,БЕОГРАД - НОВИ БЕОГРАД,2016-03-01,6,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,16,0,0,5,0,5,0,5.348888888888888,222.80555555555554,10.8375,1019.2605263157895
294,БЕОГРАД - НОВИ БЕОГРАД,2016-03-02,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,6.0227272727272725,245.8181818181818,10.917948717948718,1017.1264705882354
295,БЕОГРАД - НОВИ БЕОГРАД,2016-03-03,26,0,0,0,1,0,7,0,0,0,4,0,3,0,0,0,0,0,0,31,2,0,4,0,2,0,7.131818181818182,211.96969696969697,9.386842105263158,1014.9882352941177
296,БЕОГРАД - НОВИ БЕОГРАД,2016-03-04,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,6.854545454545455,229.5,11.194871794871796,1012.5294117647059
297,БЕОГРАД - НОВИ БЕОГРАД,2016-03-05,52,0,0,0,0,0,23,0,0,0,15,0,8,0,0,0,0,0,0,62,2,0,3,0,3,0,7.319999999999999,184.86111111111111,11.102500000000001,1013.1128205128206
298,БЕОГРАД - НОВИ БЕОГРАД,2016-03-06,63,0,0,0,0,0,9,0,0,0,20,0,1,0,0,0,0,0,0,49,0,0,0,0,1,0,6.746666666666667,156.56756756756758,13.867500000000001,1012.6674999999999
299,БЕОГРАД - НОВИ БЕОГРАД,2016-03-07,76,0,0,0,4,0,19,0,0,0,4,0,4,0,0,0,0,0,0,57,0,0,5,0,0,0,7.5,196.36111111111111,10.655,1012.8799999999999
300,БЕОГРАД - НОВИ БЕОГРАД,2016-03-08,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,6.757777777777778,266.15625,9.09736842105263,1016.1131578947369
301,БЕОГРАД - НОВИ БЕОГРАД,2016-03-09,13,0,0,0,0,0,8,0,0,0,3,0,2,0,0,0,0,0,0,16,0,0,3,0,0,0,6.346666666666668,206.5,7.864102564102564,1018.5378378378379
302,БЕОГРАД - НОВИ БЕОГРАД,2016-03-10,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6.988888888888889,209.875,9.771052631578948,1017.2722222222224
303,БЕОГРАД - НОВИ БЕОГРАД,2016-03-11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6.765909090909091,226.65625,10.597297297297297,1019.2054054054054
304,БЕОГРАД - НОВИ БЕОГРАД,2016-03-12,47,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,7.766666666666667,187.23333333333332,11.125,1018.4649999999999
305,БЕОГРАД - НОВИ БЕОГРАД,2016-03-13,25,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,1,0,7.479545454545455,180.05882352941177,8.48974358974359,1017.5447368421052
306,БЕОГРАД - НОВИ БЕОГРАД,2016-03-14,40,0,0,0,6,0,14,0,0,0,3,0,3,0,0,0,0,0,0,17,0,0,7,0,0,0,7.779545454545455,189.45714285714286,9.3475,1018.3102564102563
307,БЕОГРАД - НОВИ БЕОГРАД,2016-03-15,6,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6.804444444444444,177.1818181818182,9.484615384615385,1017.6081081081081
308,БЕОГРАД - НОВИ БЕОГРАД,2016-03-16,24,0,0,0,2,0,9,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,8.336363636363636,195.86486486486487,14.1725,1017.1342105263158
309,БЕОГРАД - НОВИ БЕОГРАД,2016-03-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,8.751111111111111,192.7058823529412,12.06578947368421,1017.5378378378379
310,БЕОГРАД - НОВИ БЕОГРАД,2016-03-18,6,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,7.464444444444444,197.53125,10.286842105263156,1018.9868421052631
311,БЕОГРАД - НОВИ БЕОГРАД,2016-03-19,17,0,0,0,8,0,23,0,0,1,15,0,1,0,0,0,0,0,0,11,0,0,6,0,18,0,5.968181818181819,197.90625,8.98918918918919,1021.5742857142857
312,БЕОГРАД - НОВИ БЕОГРАД,2016-03-20,19,0,0,0,11,0,45,0,0,5,19,0,0,0,0,0,0,0,0,6,0,0,16,0,1,0,6.406666666666667,158.15151515151516,8.225641025641027,1023.0589743589744
313,БЕОГРАД - НОВИ БЕОГРАД,2016-03-21,36,0,0,0,10,0,34,0,0,0,55,0,4,0,0,0,0,0,0,6,0,0,10,0,6,0,7.215909090909091,226.63333333333333,8.186486486486485,1020.3472222222222
314,БЕОГРАД - НОВИ БЕОГРАД,2016-03-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.442222222222222,246.6451612903226,11.508333333333333,1021.8657142857144
315,БЕОГРАД - НОВИ БЕОГРАД,2016-03-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4837209302325585,231.13793103448276,10.863636363636363,1021.1909090909091
316,БЕОГРАД - НОВИ БЕОГРАД,2016-03-24,49,0,0,0,9,0,21,0,0,0,1,0,3,0,0,0,0,0,0,6,0,0,7,0,3,0,6.968888888888889,200.16666666666666,10.333333333333334,1016.7777777777778
317,БЕОГРАД - НОВИ БЕОГРАД,2016-03-25,26,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,2,0,6.885,249.92307692307693,10.628125,1021.8586206896553
318,БЕОГРАД - НОВИ БЕОГРАД,2016-03-26,14,2,0,0,5,0,12,0,0,23,1,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0,7.330232558139534,186.6,9.719999999999999,1021.3235294117648
319,БЕОГРАД - НОВИ БЕОГРАД,2016-03-27,9,1,0,0,16,0,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,8.17837837837838,160.69565217391303,9.382142857142856,1021.232
320,БЕОГРАД - НОВИ БЕОГРАД,2016-03-28,13,0,0,0,25,0,26,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,8.9275,183.8,6.819354838709677,1019.1833333333333
321,БЕОГРАД - НОВИ БЕОГРАД,2016-03-29,26,0,0,0,45,0,258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,10.946341463414635,189.40740740740742,8.23030303030303,1021.05
322,БЕОГРАД - НОВИ БЕОГРАД,2016-03-30,19,0,0,0,58,0,201,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,1,0,12.055555555555555,202.5,9.76153846153846,1018.3314285714285
323,БЕОГРАД - НОВИ БЕОГРАД,2016-03-31,68,0,0,0,110,0,259,0,0,0,25,0,80,0,0,0,0,0,1,0,89,0,90,0,0,0,12.860975609756096,165.33333333333334,12.878787878787879,1014.684375
324,БЕОГРАД - НОВИ БЕОГРАД,2016-04-01,133,0,0,0,169,0,295,0,0,0,35,0,251,0,0,0,0,0,0,0,201,0,156,0,0,0,12.18,169.33333333333334,11.010526315789475,1010.8971428571429
325,БЕОГРАД - НОВИ БЕОГРАД,2016-04-02,176,0,0,0,296,0,410,0,0,0,32,0,280,4,0,0,0,0,1,3,276,0,343,0,1,0,11.345454545454546,213.59375,11.831578947368422,1013.4055555555556
326,БЕОГРАД - НОВИ БЕОГРАД,2016-04-03,137,0,0,0,189,0,394,0,0,0,0,0,132,8,0,0,0,0,0,0,102,0,103,0,0,0,10.747727272727273,203.42424242424244,12.168421052631578,1015.037142857143
327,БЕОГРАД - НОВИ БЕОГРАД,2016-04-04,258,0,0,0,176,0,245,0,0,0,6,0,79,0,0,0,0,2,0,0,13,0,15,0,2,0,11.424999999999999,197.8235294117647,11.302564102564103,1016.6028571428571
328,БЕОГРАД - НОВИ БЕОГРАД,2016-04-05,134,0,0,0,70,0,192,0,0,0,5,6,31,0,21,1,0,2,0,2,216,0,3,0,0,0,12.744444444444444,174.77142857142857,10.9525,1014.5552631578947
329,БЕОГРАД - НОВИ БЕОГРАД,2016-04-06,119,0,0,0,57,0,199,0,0,0,0,1,10,0,31,0,0,9,0,0,325,0,0,0,0,0,12.03111111111111,170.05714285714285,12.823076923076924,1014.2051282051282
330,БЕОГРАД - НОВИ БЕОГРАД,2016-04-07,107,0,0,0,109,0,186,0,0,0,7,13,87,58,68,0,0,100,0,2,276,0,162,0,0,0,10.995454545454546,195.46875,10.924324324324324,1013.7594594594594
331,БЕОГРАД - НОВИ БЕОГРАД,2016-04-08,133,0,0,0,69,0,142,0,0,0,45,6,88,16,43,0,0,51,1,0,160,0,226,0,0,0,12.304651162790698,157.6764705882353,10.086486486486486,1016.1222222222223
332,БЕОГРАД - НОВИ БЕОГРАД,2016-04-09,32,0,0,0,33,0,34,0,0,0,26,1,19,1,11,0,0,10,0,0,19,0,51,0,0,2,13.188888888888888,211.45454545454547,10.428205128205128,1015.1052631578947
333,БЕОГРАД - НОВИ БЕОГРАД,2016-04-10,6,0,0,0,3,0,5,0,0,0,0,6,25,0,19,0,0,55,0,0,13,0,7,0,0,4,12.815555555555557,217.6764705882353,10.497435897435897,1014.6026315789474
334,БЕОГРАД - НОВИ БЕОГРАД,2016-04-11,34,0,0,0,11,0,43,0,0,0,12,5,38,5,29,0,0,23,2,0,54,0,44,0,1,1,12.65227272727273,208.625,9.860526315789473,1016.7894736842105
335,БЕОГРАД - НОВИ БЕОГРАД,2016-04-12,10,0,0,0,60,0,13,0,0,0,19,2,1,34,36,3,0,22,1,0,52,0,29,0,0,15,13.4,139.90322580645162,9.15,1016.9461538461538
336,БЕОГРАД - НОВИ БЕОГРАД,2016-04-13,105,0,0,0,145,0,89,0,0,0,1,7,1,28,107,0,0,22,1,0,140,0,4,0,0,8,13.644444444444444,202.78787878787878,9.384615384615385,1015.3307692307693
337,БЕОГРАД - НОВИ БЕОГРАД,2016-04-14,172,0,0,0,95,0,207,0,0,0,0,5,16,9,71,0,0,0,0,0,42,0,6,0,0,0,11.608888888888888,211.25806451612902,9.594736842105263,1016.5421052631579
338,БЕОГРАД - НОВИ БЕОГРАД,2016-04-15,13,0,0,0,26,0,4,0,0,0,0,3,7,8,33,0,0,9,0,0,6,0,14,0,0,5,12.086363636363636,216.17142857142858,10.392307692307693,1018.7666666666667
339,БЕОГРАД - НОВИ БЕОГРАД,2016-04-16,1,0,0,0,67,0,19,0,0,0,4,13,5,31,52,0,0,10,4,0,63,0,16,0,0,43,12.168888888888889,214.08823529411765,11.082051282051282,1018.6131578947369
340,БЕОГРАД - НОВИ БЕОГРАД,2016-04-17,6,0,0,0,101,0,18,0,0,0,0,36,3,15,243,2,0,14,9,0,50,0,19,0,0,28,11.313333333333334,174.88235294117646,9.245000000000001,1017.5775
341,БЕОГРАД - НОВИ БЕОГРАД,2016-04-18,1,0,0,0,47,0,4,0,0,0,5,0,1,16,0,5,0,1,2,0,26,0,4,0,0,19,12.422222222222222,172.1818181818182,8.407894736842104,1018.0555555555555
342,БЕОГРАД - НОВИ БЕОГРАД,2016-04-19,0,0,0,0,20,0,6,0,0,0,4,0,1,16,0,3,0,17,3,0,0,0,13,0,0,8,12.195555555555554,231.24242424242425,9.0,1017.5358974358975
343,БЕОГРАД - НОВИ БЕОГРАД,2016-04-20,0,0,0,0,145,0,3,0,0,0,1,4,0,14,19,29,0,17,0,0,7,0,15,0,0,28,10.767441860465116,215.54545454545453,10.035135135135135,1018.3542857142858
344,БЕОГРАД - НОВИ БЕОГРАД,2016-04-21,0,0,0,0,25,0,4,0,0,0,1,0,0,1,8,4,0,6,0,0,1,0,5,1,0,3,11.042222222222222,174.53125,8.692307692307692,1019.8153846153847
345,БЕОГРАД - НОВИ БЕОГРАД,2016-04-22,0,0,0,0,24,5,15,0,0,0,1,1,0,2,10,2,0,5,0,0,0,0,1,0,0,28,13.760000000000002,153.0909090909091,10.0925,1016.115
346,БЕОГРАД - НОВИ БЕОГРАД,2016-04-23,9,0,0,0,41,7,37,0,0,0,2,4,0,2,31,0,0,0,3,0,2,0,3,0,0,0,13.575555555555555,175.38235294117646,11.33,1015.9378378378377
347,БЕОГРАД - НОВИ БЕОГРАД,2016-04-24,6,0,0,0,13,1,4,0,0,0,6,4,0,2,10,0,0,0,3,0,0,0,0,1,0,0,13.970454545454546,195.21875,9.771052631578948,1014.7763157894736
348,БЕОГРАД - НОВИ БЕОГРАД,2016-04-25,2,0,0,0,2,0,6,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,15.257777777777779,197.0857142857143,9.902564102564103,1013.2102564102563
349,БЕОГРАД - НОВИ БЕОГРАД,2016-04-26,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,0,1,0,0,0,15.702222222222222,202.68571428571428,9.6,1013.7184210526317
350,БЕОГРАД - НОВИ БЕОГРАД,2016-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,15.122222222222222,217.45454545454547,9.14102564102564,1014.1947368421053
351,БЕОГРАД - НОВИ БЕОГРАД,2016-04-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,15.011363636363637,193.44117647058823,11.42051282051282,1014.6305555555555
352,БЕОГРАД - НОВИ БЕОГРАД,2016-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,15.118181818181819,201.74285714285713,11.339473684210526,1014.4820512820513
353,БЕОГРАД - НОВИ БЕОГРАД,2016-04-30,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.342222222222222,144.875,9.810526315789474,1013.6486486486486
354,БЕОГРАД - НОВИ БЕОГРАД,2016-05-01,2,0,0,0,5,0,4,0,0,0,3,0,2,5,2,9,0,5,0,0,3,0,6,0,0,0,16.49318181818182,150.6060606060606,10.582051282051282,1012.5179487179487
355,БЕОГРАД - НОВИ БЕОГРАД,2016-05-02,0,0,0,0,3,0,1,0,0,0,1,1,0,3,8,1,0,4,6,0,1,0,2,0,0,2,17.286046511627905,144.69444444444446,11.42051282051282,1011.1567567567569
356,БЕОГРАД - НОВИ БЕОГРАД,2016-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.686046511627907,197.78125,11.18611111111111,1013.4088235294118
357,БЕОГРАД - НОВИ БЕОГРАД,2016-05-04,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,15.415555555555557,166.28125,8.484210526315788,1013.8948717948718
358,БЕОГРАД - НОВИ БЕОГРАД,2016-05-05,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,11,1,0,29,0,0,0,2,0,0,6,16.326666666666668,169.62857142857143,8.65,1012.6358974358975
359,БЕОГРАД - НОВИ БЕОГРАД,2016-05-06,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,9,0,0,41,0,0,0,6,0,0,4,14.393333333333334,233.6875,10.928947368421053,1014.8108108108108
360,БЕОГРАД - НОВИ БЕОГРАД,2016-05-07,0,0,0,0,129,1,0,0,0,0,0,1,0,1,0,2,0,0,31,0,2,0,2,0,0,4,14.922222222222222,219.3125,11.061538461538461,1015.0055555555555
361,БЕОГРАД - НОВИ БЕОГРАД,2016-05-08,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,1,14.486666666666666,221.6060606060606,8.2575,1016.8125
362,БЕОГРАД - НОВИ БЕОГРАД,2016-05-09,1,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,15.44888888888889,161.8125,8.381578947368421,1015.571794871795
363,БЕОГРАД - НОВИ БЕОГРАД,2016-05-10,0,0,0,0,1,2,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,1,0,0,0,2,16.635555555555555,169.8684210526316,10.287804878048782,1014.4487179487179
364,БЕОГРАД - НОВИ БЕОГРАД,2016-05-11,0,0,0,0,2,6,0,0,0,0,0,0,0,1,3,2,0,0,11,0,0,2,1,0,0,17,18.764444444444443,165.63888888888889,9.3625,1013.6609756097561
365,БЕОГРАД - НОВИ БЕОГРАД,2016-05-12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1,18.65111111111111,150.16666666666666,11.197560975609756,1011.729268292683
366,БЕОГРАД - НОВИ БЕОГРАД,2016-05-13,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,23,0,0,23,0,0,2,2,0,0,17,18.09777777777778,174.97142857142856,9.522499999999999,1011.7073170731708
367,БЕОГРАД - НОВИ БЕОГРАД,2016-05-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,12,0,0,10,0,1,3,0,0,0,0,17.20888888888889,211.45454545454547,10.339473684210526,1012.0674999999999
368,БЕОГРАД - НОВИ БЕОГРАД,2016-05-15,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,20,0,0,1,0,0,1,4,1,0,19,16.76,202.17142857142858,8.797560975609755,1013.2780487804879
369,БЕОГРАД - НОВИ БЕОГРАД,2016-05-16,6,0,0,0,2,0,0,0,0,0,1,0,0,3,3,1,0,0,5,0,4,0,0,1,0,6,15.675,228.3939393939394,7.423076923076923,1016.155
370,БЕОГРАД - НОВИ БЕОГРАД,2016-05-17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,16.14090909090909,210.54545454545453,6.975,1015.0049999999999
371,БЕОГРАД - НОВИ БЕОГРАД,2016-05-18,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,4,1,0,24,0,6,0,3,0,0,6,16.622222222222224,200.6060606060606,8.959999999999999,1016.4925
372,БЕОГРАД - НОВИ БЕОГРАД,2016-05-19,2,0,0,0,2,1,1,0,0,0,1,0,0,1,0,6,0,0,62,0,4,0,1,0,0,18,17.286666666666665,188.41176470588235,6.919512195121951,1015.629268292683
373,БЕОГРАД - НОВИ БЕОГРАД,2016-05-20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,43,0,0,0,0,1,0,14,16.877777777777776,194.85294117647058,9.2775,1014.3552631578947
374,БЕОГРАД - НОВИ БЕОГРАД,2016-05-21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,52,0,0,1,0,1,0,32,17.35909090909091,232.38235294117646,10.492307692307692,1015.5350000000001
375,БЕОГРАД - НОВИ БЕОГРАД,2016-05-22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,0,82,0,0,6,0,4,0,41,18.009090909090908,199.54545454545453,10.34871794871795,1016.2135135135136
376,БЕОГРАД - НОВИ БЕОГРАД,2016-05-23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,2,0,65,0,0,4,0,1,0,56,18.795454545454547,175.97142857142856,9.223076923076922,1015.8473684210526
377,БЕОГРАД - НОВИ БЕОГРАД,2016-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,63,0,0,5,0,21,0,33,17.555555555555557,195.33333333333334,8.57,1015.6439024390244
378,БЕОГРАД - НОВИ БЕОГРАД,2016-05-25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,43,1,0,6,0,0,1,0,7,0,16,18.735555555555557,192.15625,10.55,1015.3205128205128
379,БЕОГРАД - НОВИ БЕОГРАД,2016-05-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,7,0,0,0,0,1,0,28,18.07777777777778,251.87878787878788,8.607692307692307,1019.0500000000001
380,БЕОГРАД - НОВИ БЕОГРАД,2016-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,48,0,0,2,0,4,0,117,18.92666666666667,163.59375,7.715384615384615,1017.8625
381,БЕОГРАД - НОВИ БЕОГРАД,2016-05-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,0,19,0,0,4,0,3,0,159,18.370454545454546,223.52941176470588,9.069230769230769,1016.3307692307693
382,БЕОГРАД - НОВИ БЕОГРАД,2016-05-29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,15,0,33,0,0,4,0,15,0,128,18.25777777777778,205.94285714285715,9.1325,1015.2560975609756
